Team,Point Diff Rank,Point Diff,W,L,Win%,Exp W82,Exp W,Win Diff Rank,Win Diff,Offense Rank,Offense,Defense Rank,Defense,Spread Diff Rank,Spread Diff,LAST 2 WEEKS: W,LAST 2 WEEKS: L,LAST 2 WEEKS: Point Diff Rank,LAST 2 WEEKS: Point Diff,LAST 2 WEEKS: Offense Rank,LAST 2 WEEKS: Offense,LAST 2 WEEKS: Defense Rank,LAST 2 WEEKS: Defense,LAST 2 WEEKS: Spread Diff Rank,LAST 2 WEEKS: Spread Diff
Average,,,41.0,41.0,,,,,,,105.8,,105.8,,,4.0,4.0,,,,105.9,,105.9,,
Oklahoma City,1,+10.4,60,22,73.2%,65.4,65.4,30,-5.4,2,112.2,4,101.7,1,+1.8,6,2,4,+10.4,5,113.2,7,102.8,3,+5.6
Miami,2,+9.2,66,16,80.5%,62.7,62.7,3,3.3,1,113.4,9,104.2,11,+0.5,8,0,2,+12.0,6,112.4,3,100.4,7,+4.5
LA Clippers,3,+7.8,56,26,68.3%,60.1,60.1,27,-4.1,3,111.5,8,103.7,6,+1.2,7,0,1,+14.0,1,118.1,9,104.1,5,+5.5
San Antonio,4,+6.8,58,24,70.7%,58.5,58.5,22,-0.5,9,108.0,3,101.1,9,+0.8,3,5,18,-3.0,28,98.9,5,102.0,28,-4.8
Denver,5,+5.9,57,25,69.5%,55.9,55.9,11,1.1,5,110.9,11,105.0,4,+1.5,7,1,3,+10.7,4,113.3,6,102.5,9,+2.2
Memphis,6,+5.5,56,26,68.3%,55.7,55.7,16,0.3,18,105.2,2,99.7,15,+0.2,6,2,6,+10.1,17,104.5,1,94.5,11,+2.1
New York,7,+5.2,54,28,65.9%,54.3,54.3,21,-0.3,4,111.2,15,105.9,8,+1.0,7,2,8,+8.5,2,115.8,21,107.3,6,+5.3
Indiana,8,+4.8,49,32,60.5%,54.1,53.4,28,-4.4,19,104.4,1,99.6,5,+1.3,1,5,29,-13.1,29,98.7,27,111.8,30,-15.7
Houston,9,+3.3,45,37,54.9%,49.5,49.5,29,-4.5,6,109.8,20,106.6,2,+1.8,4,4,13,+1.6,12,108.7,20,107.0,22,-2.3
Brooklyn,10,+2.2,49,33,59.8%,46.9,46.9,5,2.1,7,108.6,18,106.3,13,+0.4,7,2,5,+10.3,3,113.3,8,103.1,8,+3.5
LA Lakers,11,+1.6,45,37,54.9%,45.2,45.2,19,-0.2,8,108.3,21,106.7,29,-1.8,6,1,12,+3.7,8,110.2,18,106.5,15,-1.0
Chicago,12,+1.1,45,37,54.9%,44.0,44.0,14,1.0,21,103.6,5,102.5,21,-0.7,5,4,16,0.0,14,105.8,16,105.8,18,-1.2
Atlanta,13,+1.0,44,38,53.7%,43.7,43.7,17,0.3,16,105.3,10,104.4,24,-1.1,2,5,20,-4.0,18,104.0,23,108.0,27,-4.8
Golden State,14,+0.2,47,35,57.3%,41.5,41.5,1,5.5,11,106.2,16,106.0,16,+0.2,5,3,10,+4.5,9,109.0,12,104.6,19,-1.6
Utah,15,+0.2,43,39,52.4%,41.5,41.5,6,1.5,10,106.4,17,106.2,20,-0.5,4,3,14,+0.8,20,102.5,4,101.6,13,-0.3
Boston,16,-0.2,41,40,50.6%,40.4,39.9,12,1.1,24,103.3,7,103.5,22,-0.8,3,4,15,+0.5,13,107.5,19,106.9,12,+1.9
Dallas,17,-0.4,41,41,50.0%,39.9,39.9,10,1.1,12,106.1,19,106.5,23,-0.9,5,3,11,+4.4,10,108.9,11,104.5,14,-0.6
Milwaukee,18,-1.5,38,44,46.3%,36.8,36.8,9,1.2,22,103.5,12,105.0,26,-1.3,2,7,22,-4.6,26,99.8,10,104.3,29,-5.0
Toronto,19,-2.3,34,48,41.5%,34.9,34.9,23,-0.9,14,105.7,23,108.0,12,+0.4,7,1,7,+8.8,11,108.8,2,100.0,2,+6.8
Minnesota,20,-2.6,31,51,37.8%,34.0,34.0,26,-3.0,25,102.5,13,105.0,10,+0.7,4,5,17,-1.9,19,103.1,13,105.0,16,-1.1
Washington,21,-3.3,29,53,35.4%,31.9,31.9,25,-2.9,30,99.7,6,102.9,7,+1.1,1,7,25,-8.3,25,100.1,24,108.4,25,-3.5
Philadelphia,22,-3.4,34,48,41.5%,31.7,31.7,4,2.3,26,102.2,14,105.6,28,-1.5,4,5,19,-3.6,21,102.2,15,105.8,20,-1.9
Portland,23,-3.5,33,49,40.2%,31.9,31.9,13,1.1,13,106.0,25,109.5,17,-0.3,0,8,30,-15.4,27,99.0,30,114.4,25,-3.5
Detroit,24,-4.9,29,53,35.4%,28.1,28.1,15,0.9,23,103.3,24,108.2,18,-0.4,4,3,9,+5.3,7,110.7,14,105.4,1,+7.8
New Orleans,25,-5.4,27,55,32.9%,27.1,27.1,18,-0.1,17,105.2,28,110.7,3,+1.7,1,7,28,-12.9,24,100.8,29,113.7,21,-2.2
Sacramento,26,-5.7,28,54,34.1%,26.5,26.5,7,1.5,15,105.6,29,111.3,19,-0.5,1,7,24,-7.3,15,105.5,28,112.8,17,-1.1
Cleveland,27,-6.0,24,58,29.3%,25.6,25.6,24,-1.6,20,103.7,26,109.7,14,+0.3,2,7,26,-8.7,23,101.0,25,109.7,23,-2.3
Phoenix,28,-6.7,25,57,30.5%,23.8,23.8,8,1.2,29,101.2,22,107.8,25,-1.2,2,6,23,-6.7,16,104.6,26,111.3,3,+5.6
Orlando,29,-8.4,20,62,24.4%,20.3,20.3,20,-0.3,27,101.4,27,109.8,26,-1.3,1,6,27,-12.1,30,95.8,22,108.0,24,-3.3
Charlotte,30,-10.3,21,61,25.6%,16.8,16.8,2,4.2,28,101.3,30,111.7,30,-1.8,4,4,21,-4.4,22,101.7,17,106.1,9,+2.2